id_poste_livraison;id_parc;code_insee;nom_commune;code_dept;code_reg;x_poste_livraison;y_poste_livraison;epsg;libelle;date_maj
0003014607_PL1;0003014607;51409;NUISEMENT-SUR-COOLE;51;44;792909.0;6863940.0;2154;Lambert-93;2022-10-27
0003014607_PL1;0003014607;51146;CHENIERS;51;44;792909.0;6863940.0;2154;Lambert-93;2022-10-27
0003014607_PL2;0003014607;51409;NUISEMENT-SUR-COOLE;51;44;793084.0;6865322.0;2154;Lambert-93;2022-10-27
0003014607_PL2;0003014607;51146;CHENIERS;51;44;793084.0;6865322.0;2154;Lambert-93;2022-10-27
0003014607_PL3;0003014607;51146;CHENIERS;51;44;793078.0;6865329.0;2154;Lambert-93;2022-10-27
0003014607_PL3;0003014607;51409;NUISEMENT-SUR-COOLE;51;44;793078.0;6865329.0;2154;Lambert-93;2022-10-27
0003014607_PL4;0003014607;51146;CHENIERS;51;44;792524.0;6864610.0;2154;Lambert-93;2022-10-27
0003014607_PL4;0003014607;51409;NUISEMENT-SUR-COOLE;51;44;792524.0;6864610.0;2154;Lambert-93;2022-10-27
0003014607_PL5;0003014607;51409;NUISEMENT-SUR-COOLE;51;44;792530.0;6864603.0;2154;Lambert-93;2022-10-27
0003014607_PL5;0003014607;51146;CHENIERS;51;44;792530.0;6864603.0;2154;Lambert-93;2022-10-27
0003014607_PL6;0003014607;51146;CHENIERS;51;44;792540.0;6864592.0;2154;Lambert-93;2022-10-27
0003014607_PL6;0003014607;51409;NUISEMENT-SUR-COOLE;51;44;792540.0;6864592.0;2154;Lambert-93;2022-10-27
0003014614_PL1;0003014614;51473;SAINT-BON;51;44;736300.8;6842230.0;2154;Lambert-93;2022-10-20
0003014616_PL1;0003014616;51354;MARSON;51;44;808809.75;6865481.0;2154;Lambert-93;2022-10-22
0003014616_PL1;0003014616;51616;VESIGNEUL-SUR-MARNE;51;44;808809.75;6865481.0;2154;Lambert-93;2022-10-22
0003014616_PL1;0003014616;51436;POGNY;51;44;808809.75;6865481.0;2154;Lambert-93;2022-10-22
0003014616_PL2;0003014616;51616;VESIGNEUL-SUR-MARNE;51;44;808816.94;6865488.0;2154;Lambert-93;2022-10-22
0003014616_PL2;0003014616;51436;POGNY;51;44;808816.94;6865488.0;2154;Lambert-93;2022-10-22
0003014616_PL2;0003014616;51354;MARSON;51;44;808816.94;6865488.0;2154;Lambert-93;2022-10-22
0003014630_PL1;0003014630;10442;VOUE;10;44;779633.0;6817552.0;2154;Lambert-93;2022-10-23
0003014830_PL1;0003014830;51214;DOMMARTIN-VARIMONT;51;44;831791.4;6875446.0;2154;Lambert-93;2022-10-21
0003014831_PL1;0003014831;51549;SOMME-YEVRE;51;44;830522.7;6873530.5;2154;Lambert-93;2022-10-21
0003014877_PL1;0003014877;55142;DAINVILLE BERTHELEVILLE;55;44;888481.06;6819360.0;2154;Lambert-93;2022-11-11
0003014877_PL2;0003014877;55142;DAINVILLE BERTHELEVILLE;55;44;888481.06;6819360.0;2154;Lambert-93;2022-11-11
0003014879_PL1;0003014879;55423;REMBERCOURT SOMMAISNE;55;44;860323.44;6872380.0;2154;Lambert-93;2022-10-27
0003014879_PL2;0003014879;55423;REMBERCOURT SOMMAISNE;55;44;860142.6;6872963.5;2154;Lambert-93;2022-10-27
0003014879_PL3;0003014879;55423;REMBERCOURT SOMMAISNE;55;44;859940.75;6873292.0;2154;Lambert-93;2022-10-27
0003100091_PL1;0003100091;79136;ALLOINAY;79;75;466673.84;6567140.5;2154;Lambert-93;2022-10-12
0003100106_PL1;0003100106;87149;SAINT-HILAIRE-LA-TREILLE;87;75;569597.0;6572728.0;2154;Lambert-93;2022-11-04
0003100106_PL1;0003100106;87003;ARNAC-LA-POSTE;87;75;569597.0;6572728.0;2154;Lambert-93;2022-11-04
0003100106_PL2;0003100106;87003;ARNAC-LA-POSTE;87;75;574222.0;6572470.0;2154;Lambert-93;2022-11-04
0003100106_PL2;0003100106;87149;SAINT-HILAIRE-LA-TREILLE;87;75;574222.0;6572470.0;2154;Lambert-93;2022-11-04
0003100115_PL1;0003100115;86159;MILLAC;86;75;523219.0;6569425.0;2154;Lambert-93;2022-10-26
